RequestId,69bd9827620f00a58b1a07d2
X,HFCT
45930,19.60287666
46065,23.64388084
46200,26.07037163
46335,23.1049118
46470,24.53632545
46605,20.59646988
46740,24.04397011
46875,25.59547234
47010,20.62986374
47145,23.64670563
47280,20.49617195
47415,16.89374352
47550,17.94426537
47685,19.16321945
47820,23.02791405
47955,14.792449
48090,19.29362106
48225,12.34168053
48360,14.22451496
48495,16.32759094
48630,21.20532799
48765,23.68909073
48900,20.91003609
49035,23.32588577
49170,24.33046722
49305,18.35159492
49440,16.86236191
49575,17.97417259
49710,21.94071579
49845,22.58023643
49980,23.75673866
50115,22.60617447
50250,23.49991989
50385,13.98904896
50520,11.7847929
50655,11.69804478
50790,16.8315506
50925,20.96368217
51060,22.9714756
51195,14.34402847
51330,18.65947533
51465,14.97483063
51600,18.33342743
51735,21.20819855
51870,22.78826714
52005,23.23902321
52140,24.39216805
52275,18.51636124
52410,21.15797997
52545,20.92537498
52680,11.93097305
52815,9.620204926
52950,9.267012596
53085,15.99680996
53220,20.06445122
53355,14.94199276
53490,18.20358276
53625,17.81464767
53760,12.84988785
53895,18.15435219
54030,16.26473045
54165,18.84546471
54300,17.09252167
54435,16.09436798
54570,14.1611433
54705,18.1728096
54840,16.77168655
54975,20.47313118
55110,22.31235695
55245,22.88712311
55380,15.76074696
55515,17.664814
55650,16.49097633
55785,20.20305252
55920,12.18846989
56055,7.477743149
56190,15.75820351
56325,15.05243683
56460,18.9252224
56595,19.33138657
56730,21.34657669
56865,16.41532135
57000,18.78377151
57135,10.86467457
57270,15.00255013
57405,18.78668976
57540,19.87968063
57675,21.38555336
57810,22.41721916
57945,22.44338799
58080,19.80666542
58215,19.66646957
58350,19.7365036
58485,21.08645439
58620,12.87748718
58755,11.76556206
58890,12.07945156
59025,14.75825214
59160,18.07839966
59295,13.29559994
59430,8.430473328
59565,5.383158684
59700,11.82562733
59835,16.80398369
59970,9.583683014
60105,14.04562569
60240,16.59866524
60375,19.45843887
60510,11.09609795
60645,13.85691833
60780,16.67079544
60915,15.9396677
61050,14.60292149
61185,16.74913406
61320,13.31485462
61455,11.41172409
61590,16.37571716
61725,18.99640465
61860,20.2788353
61995,13.02271843
62130,13.16483688
62265,11.82414055
62400,15.84786606
62535,15.88913441
62670,12.08196926
62805,14.00424099
62940,9.897006989
63075,11.60168457
63210,8.371700287
63345,8.180426598
63480,11.28152847
63615,10.35324764
63750,15.14614964
63885,17.73464012
64020,11.51762581
64155,15.88642597
64290,15.88723946
64425,16.52110672
64560,18.67711639
64695,14.84394264
64830,16.71165085
64965,15.74293804
65100,14.19581127
65235,17.12122345
65370,16.19180489
65505,18.26239967
65640,14.18693447
65775,11.28995228
65910,13.14528561
66045,16.18652725
66180,18.3349781
66315,16.03139496
66450,17.69344521
66585,19.21753502
66720,19.88529968
66855,11.33839226
66990,14.77863884
67125,10.17884827
67260,14.47169971
67395,8.253610611
67530,14.21773434
67665,14.88512897
67800,10.68765831
67935,6.972556591
68070,13.47403049
68205,7.703012943
68340,8.66062355
68475,8.830104828
68610,10.0892067
68745,5.842422962
68880,12.59856892
69015,16.44428825
69150,12.42680168
69285,15.86659336
69420,11.468853
69555,10.11776352
69690,6.966730118
69825,13.11701298
69960,8.337805748
70095,6.89836359
70230,6.815587044
70365,9.156386375
70500,7.555505276
70635,12.92990398
70770,15.60113811
70905,9.607510567
71040,14.09781456
71175,13.05671692
71310,15.08051109
71445,9.199389458
71580,13.83981514
71715,15.95816898
71850,12.6396246
71985,9.273365021
72120,11.77767944
72255,14.11375332
72390,12.6600666
72525,15.85027981
72660,16.72223091
72795,17.24092484
72930,10.7209425
73065,12.27661133
73200,15.34725189
73335,8.76981926
73470,13.16882992
73605,7.510789394
73740,11.35512066
73875,12.92902088
74010,15.60421371
74145,10.31447124
74280,13.04212475
74415,9.911866188
74550,11.74337006
74685,9.319055557
74820,7.087984085
